Thai,Danish
เธ,Ly
ใช่,Ja
ไม่,ingen
เน,Talrige
โอเค,okay
โอ้,Åh
เฮ้,Hej!
ๆ,I
เอ่อ,Åh
ครับ,Ja
นี่,dette
อืม,um
ขอบคุณ,tak skal du have
อะไรนะ,hvad?
แต่,men
เอาล่ะ,okay
อะไร,hvad
ค่ะ,Ja
พระเจ้า,Gud
ฟังนะ,Lyt
และ,og
ฉัน,jeg
เธฒเธ,Store
เธญเธ,Det
ได้โปรด,Vær venlig
แน่นอน,bestemte
ดี,godt
แล้ว,allerede
ทำไม,hvorfor
ได้,kan
ไม่เป็นไร,Glem det
ไป,gå
ที่รัก,skat
งั้น,Ellers
โอ,Åh
เธตเน,Det
เธฑเธ,Du
เกิดอะไรขึ้น,hvad skete der
คุณ,du
เดี๋ยว,vent et øjeblik
ตอนนี้,nu
อ่า,kjole
ก็ได้,okay
แม่,mor
พ่อ,far
สวัสดี,Hej
ปี,år
ฉันรู้,Jeg ved
บรรยายไทยโดย,Thai forelæsning af
ว้าว,Wow
ไม่นะ,ingen
ใช่แล้ว,Ja
ใช่ไหม,Ret?
เปล่า,ikke noget
ใช่มั้ย,Ret?
ดังนั้น,så
คือ,er
เธกเน,Din
เร็วเข้า,Hurtig
ผม,hår
หวัดดี,Hej
ฉันขอโทษ,det er jeg ked af
ไม่เอาน่า,Ingen
เพื่อน,ven
ตกลง,enig
อ้อ,Åh
เหรอ,virkelig?
จริงเหรอ,Virkelig?
นะ,Ja
หรือ,eller
เยี่ยม,besøg
เออ,Ja!
คน,person
ไง,hvordan
ไม่ใช่,ingen
ไปกันเถอะ,Lad os gå
ฮัลโหล,Hej
เดี๋ยวก่อน,Vent et øjeblik
แต่ว่า,men
หยุด,hold op
ั,Top
ฉันไม่รู้,Jeg ved ikke
ขอโทษนะ,undskyld mig
ขอบใจ,takke
ขอโทษ,undskyld mig
ขอบคุณครับ,tak skal du have
ไม่รู้สิ,ved ikke
นาที,minut
ฉันหมายถึง,jeg mener
เธธเธ,Du
ว่าไง,Hvordan går det?
ขอบคุณค่ะ,tak skal du have
ทำไมล่ะ,Hvorfor?
อา,Onkel
อย่า,lade være med
อ้า,åben
เฮ้ย,Hoy!
โทษที,Undskyld
ก็,Som
มานี่,Kom her
