,Thai,Danish
0,เธ,Ly
1,ใช่,Ja
2,ไม่,ingen
3,เน,Talrige
4,โอเค,okay
5,โอ้,Åh
6,เฮ้,Hej!
7,ๆ,I
8,เอ่อ,Åh
9,ครับ,Ja
10,นี่,dette
11,อืม,um
12,ขอบคุณ,tak skal du have
13,อะไรนะ,hvad?
14,แต่,men
15,เอาล่ะ,okay
16,อะไร,hvad
17,ค่ะ,Ja
18,พระเจ้า,Gud
19,ฟังนะ,Lyt
20,และ,og
21,ฉัน,jeg
22,เธฒเธ,Store
23,เธญเธ,Det
24,ได้โปรด,Vær venlig
25,แน่นอน,bestemte
26,ดี,godt
27,แล้ว,allerede
28,ทำไม,hvorfor
29,ได้,kan
30,ไม่เป็นไร,Glem det
31,ไป,gå
32,ที่รัก,skat
33,งั้น,Ellers
34,เธตเน,Det
35,เธฑเธ,Du
36,เกิดอะไรขึ้น,hvad skete der
37,คุณ,du
38,ตอนนี้,nu
39,อ่า,kjole
40,ก็ได้,okay
41,แม่,mor
42,พ่อ,far
43,สวัสดี,Hej
44,ปี,år
45,ฉันรู้,Jeg ved
46,บรรยายไทยโดย,Thai forelæsning af
47,ว้าว,Wow
48,ไม่นะ,ingen
49,ใช่แล้ว,Ja
50,ใช่ไหม,Ret?
51,เปล่า,ikke noget
52,ใช่มั้ย,Ret?
53,ดังนั้น,så
54,คือ,er
55,เธกเน,Din
56,เร็วเข้า,Hurtig
57,หวัดดี,Hej
58,ฉันขอโทษ,det er jeg ked af
59,ไม่เอาน่า,Ingen
60,เพื่อน,ven
61,ตกลง,enig
62,อ้อ,Åh
63,เหรอ,virkelig?
64,จริงเหรอ,Virkelig?
65,นะ,Ja
66,หรือ,eller
67,เยี่ยม,besøg
68,เออ,Ja!
69,คน,person
70,ไง,hvordan
71,ไม่ใช่,ingen
72,ไปกันเถอะ,Lad os gå
73,ฮัลโหล,Hej
74,เดี๋ยวก่อน,Vent et øjeblik
75,แต่ว่า,men
76,หยุด,hold op
77,ั,Top
78,ฉันไม่รู้,Jeg ved ikke
79,ขอโทษนะ,undskyld mig
80,ขอบใจ,takke
81,ขอโทษ,undskyld mig
82,ขอบคุณครับ,tak skal du have
83,ไม่รู้สิ,ved ikke
84,นาที,minut
85,ฉันหมายถึง,jeg mener
86,เธธเธ,Du
87,ว่าไง,Hvordan går det?
88,ขอบคุณค่ะ,tak skal du have
89,ทำไมล่ะ,Hvorfor?
90,อา,Onkel
91,อย่า,lade være med
92,อ้า,åben
93,เฮ้ย,Hoy!
94,โทษที,Undskyld
95,ก็,Som
96,มานี่,Kom her
